CCG21CDH,ccg_name,trust_code,trust_name
15D,NHS EAST BERKSHIRE CCG,AM7,SIGN HEALTH (HQ)
15D,NHS EAST BERKSHIRE CCG,ANV01,CENTRE FOR PSYCHOLOGY
15D,NHS EAST BERKSHIRE CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
15D,NHS EAST BERKSHIRE CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
15D,NHS EAST BERKSHIRE CCG,RKL14,LAKESIDE UNIT
15D,NHS EAST BERKSHIRE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
15D,NHS EAST BERKSHIRE CCG,RXX1Y,SURREY IAPT
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALR01,LIVING WELL CONSORTIUM (HERBERT ROAD)
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALR02,BMHC-FTB
15E,NHS BIRMINGHAM AND SOLIHULL CCG,AM7,SIGN HEALTH (HQ)
15E,NHS BIRMINGHAM AND SOLIHULL CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
15E,NHS BIRMINGHAM AND SOLIHULL CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
15E,NHS BIRMINGHAM AND SOLIHULL CCG,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST
15E,NHS BIRMINGHAM AND SOLIHULL CCG,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST
15F,NHS LEEDS CCG,AM7,SIGN HEALTH (HQ)
15F,NHS LEEDS CCG,NKI,TURNING POINT
15F,NHS LEEDS CCG,NO202,WARRINGTON PSYCHOLOGICAL SERVICE
15F,NHS LEEDS CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
15F,NHS LEEDS CCG,NWC12,VITA HEALTH GROUP: VITAMINDS CALDERDALE
15F,NHS LEEDS CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
15F,NHS LEEDS CCG,RX3YE,THE BRIARY UNIT
15F,NHS LEEDS CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
15F,NHS LEEDS CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
15F,NHS LEEDS CCG,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST
15F,NHS LEEDS CCG,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST
15F,NHS LEEDS CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,AM7,SIGN HEALTH (HQ)
15M,NHS DERBY AND DERBYSHIRE CCG,NWC11,VITA HEALTH GROUP: VITAMINDS DERBY
15M,NHS DERBY AND DERBYSHIRE CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,RWK4C,ST JOHN'S HEALTH CENTRE
15M,NHS DERBY AND DERBYSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
15M,NHS DERBY AND DERBYSHIRE CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
15N,NHS DEVON CCG,AM7,SIGN HEALTH (HQ)
15N,NHS DEVON CCG,NR5,LIVEWELL SOUTHWEST
15N,NHS DEVON CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
15N,NHS DEVON CCG,RH5,SOMERSET NHS FOUNDATION TRUST
15N,NHS DEVON CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
15N,NHS DEVON CCG,RWV,DEVON PARTNERSHIP NHS TRUST
15N,NHS DEVON CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
16C,NHS TEES VALLEY CCG,AM7,SIGN HEALTH (HQ)
16C,NHS TEES VALLEY CCG,RH5,SOMERSET NHS FOUNDATION TRUST
16C,NHS TEES VALLEY CCG,RX301,"TEES, ESK, WEAR VALLEY NHS TRUST (DURHAM)"
16C,NHS TEES VALLEY CCG,RX3YE,THE BRIARY UNIT
16C,NHS TEES VALLEY CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
16C,NHS TEES VALLEY CCG,TAF88,CAMDEN IAPT
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,AM7,SIGN HEALTH (HQ)
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
26A,NHS NORFOLK AND WAVENEY CCG,AM7,SIGN HEALTH (HQ)
26A,NHS NORFOLK AND WAVENEY CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
26A,NHS NORFOLK AND WAVENEY CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
26A,NHS NORFOLK AND WAVENEY CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
26A,NHS NORFOLK AND WAVENEY CCG,RPG,OXLEAS NHS FOUNDATION TRUST
26A,NHS NORFOLK AND WAVENEY CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
26A,NHS NORFOLK AND WAVENEY CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
27D,NHS CHESHIRE CCG,AM7,SIGN HEALTH (HQ)
27D,NHS CHESHIRE CCG,AMC03,SELF HELP SERVICES (EASTERN CHESHIRE)
27D,NHS CHESHIRE CCG,RXA29,DENTON HOUSE
27D,NHS CHESHIRE CCG,RXA52,1829 BUILDING
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,AM7,SIGN HEALTH (HQ)
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,AM7,SIGN HEALTH (HQ)
36L,NHS SOUTH WEST LONDON CCG,ANV01,CENTRE FOR PSYCHOLOGY
36L,NHS SOUTH WEST LONDON CCG,DV7,OFF THE RECORD YOUTH COUNSELLING
36L,NHS SOUTH WEST LONDON CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
36L,NHS SOUTH WEST LONDON CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RKL14,LAKESIDE UNIT
36L,NHS SOUTH WEST LONDON CCG,RPG,OXLEAS NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RQY12,WANDSWORTH IAPT
36L,NHS SOUTH WEST LONDON CCG,RQYMI,MERTON IAPT
36L,NHS SOUTH WEST LONDON CCG,RQYPR,SUTTON IAPT
36L,NHS SOUTH WEST LONDON CCG,RV5CJ,CROYDON PSYCHOLOGICAL THERAPIES SERVICE (CROYDON IAPT)
36L,NHS SOUTH WEST LONDON CCG,RV5CK,LAMBETH PSYCHOLOGICAL THERAPIES SERVICE (LAMBETH IAPT)
36L,NHS SOUTH WEST LONDON CCG,RWK4C,ST JOHN'S HEALTH CENTRE
36L,NHS SOUTH WEST LONDON CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
36L,NHS SOUTH WEST LONDON CCG,RXX1Y,SURREY IAPT
36L,NHS SOUTH WEST LONDON CCG,TAF90,KINGSTON DRUG & ALCOHOL SERVICE
42D,NHS NORTH YORKSHIRE CCG,AM7,SIGN HEALTH (HQ)
42D,NHS NORTH YORKSHIRE CCG,RX3YE,THE BRIARY UNIT
42D,NHS NORTH YORKSHIRE CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,AM7,SIGN HEALTH (HQ)
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,NLS,TRENT PTS
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,NR5,LIVEWELL SOUTHWEST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RH5,SOMERSET NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RKL14,LAKESIDE UNIT
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RPG,OXLEAS NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RWK4C,ST JOHN'S HEALTH CENTRE
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
70F,NHS WEST SUSSEX CCG,AM7,SIGN HEALTH (HQ)
70F,NHS WEST SUSSEX CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
70F,NHS WEST SUSSEX CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
70F,NHS WEST SUSSEX CCG,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST
70F,NHS WEST SUSSEX CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
70F,NHS WEST SUSSEX CCG,RXX1Y,SURREY IAPT
71E,NHS LINCOLNSHIRE CCG,AM7,SIGN HEALTH (HQ)
71E,NHS LINCOLNSHIRE CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
71E,NHS LINCOLNSHIRE CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
71E,NHS LINCOLNSHIRE CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
71E,NHS LINCOLNSHIRE CCG,RWK79,NEWHAM IAPT
71E,NHS LINCOLNSHIRE CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
71E,NHS LINCOLNSHIRE CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
71E,NHS LINCOLNSHIRE CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
71E,NHS LINCOLNSHIRE CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,AM7,SIGN HEALTH (HQ)
72Q,NHS SOUTH EAST LONDON CCG,AME01,MIND IN BEXLEY (HQ)
72Q,NHS SOUTH EAST LONDON CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
72Q,NHS SOUTH EAST LONDON CCG,NQV,BROMLEY HEALTHCARE
72Q,NHS SOUTH EAST LONDON CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
72Q,NHS SOUTH EAST LONDON CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
72Q,NHS SOUTH EAST LONDON CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RDYLK,BOURNEMOUTH AND POOLE PRIMARY CARE MEDICAL TEAM
72Q,NHS SOUTH EAST LONDON CCG,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RKL07,EALING IAPT
72Q,NHS SOUTH EAST LONDON CCG,RKL14,LAKESIDE UNIT
72Q,NHS SOUTH EAST LONDON CCG,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RPG,OXLEAS NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RV5CG,SOUTHWARK PSYCHOLOGICAL THERAPIES SERVICES (SOUTHWARK IAPT)
72Q,NHS SOUTH EAST LONDON CCG,RV5CH,LEWISHAM PSYCHOLOGICAL THERAPIES SERVICE (LEWISHAM IAPT)
72Q,NHS SOUTH EAST LONDON CCG,RV5CJ,CROYDON PSYCHOLOGICAL THERAPIES SERVICE (CROYDON IAPT)
72Q,NHS SOUTH EAST LONDON CCG,RV5CK,LAMBETH PSYCHOLOGICAL THERAPIES SERVICE (LAMBETH IAPT)
72Q,NHS SOUTH EAST LONDON CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
72Q,NHS SOUTH EAST LONDON CCG,RXX1Y,SURREY IAPT
78H,NHS NORTHAMPTONSHIRE CCG,AM7,SIGN HEALTH (HQ)
78H,NHS NORTHAMPTONSHIRE CCG,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST
84H,NHS COUNTY DURHAM CCG,AM7,SIGN HEALTH (HQ)
84H,NHS COUNTY DURHAM CCG,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
84H,NHS COUNTY DURHAM CCG,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
84H,NHS COUNTY DURHAM CCG,RWK4C,ST JOHN'S HEALTH CENTRE
84H,NHS COUNTY DURHAM CCG,RX301,"TEES, ESK, WEAR VALLEY NHS TRUST (DURHAM)"
84H,NHS COUNTY DURHAM CCG,RX3YE,THE BRIARY UNIT
84H,NHS COUNTY DURHAM CCG,RX4K3,GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY
91Q,NHS KENT AND MEDWAY CCG,8J766,NORTH KENT MIND
91Q,NHS KENT AND MEDWAY CCG,AJA,DOVER COUNSELLING CENTRE HQ
91Q,NHS KENT AND MEDWAY CCG,AM601,IESO DIGITAL HEALTH
91Q,NHS KENT AND MEDWAY CCG,AM7,SIGN HEALTH (HQ)
91Q,NHS KENT AND MEDWAY CCG,NI382,WE ARE WITH YOU IN ASHFORD
91Q,NHS KENT AND MEDWAY CCG,NI398,WE ARE WITH YOU IN CANTERBURY & COASTAL
91Q,NHS KENT AND MEDWAY CCG,NIW,FAVERSHAM COUNSELLING SERVICE LTD
91Q,NHS KENT AND MEDWAY CCG,NKT,UNIVERSITY MEDICAL CENTRE
91Q,NHS KENT AND MEDWAY CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
91Q,NHS KENT AND MEDWAY CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
91Q,NHS KENT AND MEDWAY CCG,NWC10,VITA HEALTH GROUP: VITAMINDS DARTFORD
91Q,NHS KENT AND MEDWAY CCG,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
91Q,NHS KENT AND MEDWAY CCG,RPG,OXLEAS NHS FOUNDATION TRUST
91Q,NHS KENT AND MEDWAY CCG,RV5CG,SOUTHWARK PSYCHOLOGICAL THERAPIES SERVICES (SOUTHWARK IAPT)
91Q,NHS KENT AND MEDWAY CCG,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
91Q,NHS KENT AND MEDWAY CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
92A,NHS SURREY HEARTLANDS CCG,AM601,IESO DIGITAL HEALTH
92A,NHS SURREY HEARTLANDS CCG,AM7,SIGN HEALTH (HQ)
92A,NHS SURREY HEARTLANDS CCG,ANV01,CENTRE FOR PSYCHOLOGY
92A,NHS SURREY HEARTLANDS CCG,NI385,WE ARE WITH YOU IN REIGATE
92A,NHS SURREY HEARTLANDS CCG,NI386,WE ARE WITH YOU IN WOKING
92A,NHS SURREY HEARTLANDS CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
92A,NHS SURREY HEARTLANDS CCG,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC
92A,NHS SURREY HEARTLANDS CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
92A,NHS SURREY HEARTLANDS CCG,RDYLK,BOURNEMOUTH AND POOLE PRIMARY CARE MEDICAL TEAM
92A,NHS SURREY HEARTLANDS CCG,RKL14,LAKESIDE UNIT
92A,NHS SURREY HEARTLANDS CCG,RPG,OXLEAS NHS FOUNDATION TRUST
92A,NHS SURREY HEARTLANDS CCG,RV5CK,LAMBETH PSYCHOLOGICAL THERAPIES SERVICE (LAMBETH IAPT)
92A,NHS SURREY HEARTLANDS CCG,RW4,MERSEY CARE NHS FOUNDATION TRUST
92A,NHS SURREY HEARTLANDS CCG,RWK4C,ST JOHN'S HEALTH CENTRE
92A,NHS SURREY HEARTLANDS CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
92A,NHS SURREY HEARTLANDS CCG,RXX1Y,SURREY IAPT
92A,NHS SURREY HEARTLANDS CCG,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",AM7,SIGN HEALTH (HQ)
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RH5,SOMERSET NHS FOUNDATION TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RPG,OXLEAS NHS FOUNDATION TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RVNCG,LIFT PSYCHOLOGY SWINDON
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,8JX60,MIND IN ENFIELD
93C,NHS NORTH CENTRAL LONDON CCG,AM7,SIGN HEALTH (HQ)
93C,NHS NORTH CENTRAL LONDON CCG,DWY,COMMUNITY BARNET
93C,NHS NORTH CENTRAL LONDON CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
93C,NHS NORTH CENTRAL LONDON CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RKE,WHITTINGTON HEALTH NHS TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RKECE,WHITTINGTON HEALTH AT CROUCH END
93C,NHS NORTH CENTRAL LONDON CCG,RKL07,EALING IAPT
93C,NHS NORTH CENTRAL LONDON CCG,RKL14,LAKESIDE UNIT
93C,NHS NORTH CENTRAL LONDON CCG,RPG,OXLEAS NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RRPJ3,BARNET IAPT
93C,NHS NORTH CENTRAL LONDON CCG,RRPJ4,ENFIELD IAPT
93C,NHS NORTH CENTRAL LONDON CCG,RV5CG,SOUTHWARK PSYCHOLOGICAL THERAPIES SERVICES (SOUTHWARK IAPT)
93C,NHS NORTH CENTRAL LONDON CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
93C,NHS NORTH CENTRAL LONDON CCG,TAF87,ISLINGTON IAPT
93C,NHS NORTH CENTRAL LONDON CCG,TAF88,CAMDEN IAPT
97R,NHS EAST SUSSEX CCG,AM7,SIGN HEALTH (HQ)
97R,NHS EAST SUSSEX CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
97R,NHS EAST SUSSEX CCG,RKL14,LAKESIDE UNIT
97R,NHS EAST SUSSEX CCG,RPG,OXLEAS NHS FOUNDATION TRUST
97R,NHS EAST SUSSEX CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
97R,NHS EAST SUSSEX CCG,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
99A,NHS LIVERPOOL CCG,AM7,SIGN HEALTH (HQ)
99A,NHS LIVERPOOL CCG,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
99A,NHS LIVERPOOL CCG,RW4,MERSEY CARE NHS FOUNDATION TRUST
99A,NHS LIVERPOOL CCG,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
99C,NHS NORTH TYNESIDE CCG,AM7,SIGN HEALTH (HQ)
99C,NHS NORTH TYNESIDE CCG,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
99C,NHS NORTH TYNESIDE CCG,RTF61,WALLSEND HEALTH CENTRE
99E,NHS BASILDON AND BRENTWOOD CCG,AM7,SIGN HEALTH (HQ)
99E,NHS BASILDON AND BRENTWOOD CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
99E,NHS BASILDON AND BRENTWOOD CCG,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
99E,NHS BASILDON AND BRENTWOOD CCG,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
99E,NHS BASILDON AND BRENTWOOD CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
99E,NHS BASILDON AND BRENTWOOD CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
99F,NHS CASTLE POINT AND ROCHFORD CCG,AM7,SIGN HEALTH (HQ)
99F,NHS CASTLE POINT AND ROCHFORD CCG,NWC05,VITA HEALTH GROUP: VITA MINDS BASILDON & BRENTWOOD
99F,NHS CASTLE POINT AND ROCHFORD CCG,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
99F,NHS CASTLE POINT AND ROCHFORD CCG,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
99G,NHS SOUTHEND CCG,AM7,SIGN HEALTH (HQ)
99G,NHS SOUTHEND CCG,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
99G,NHS SOUTHEND CCG,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
99G,NHS SOUTHEND CCG,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,ANV01,CENTRE FOR PSYCHOLOGY
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,NCH,TALKPLUS
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,NNE,DORKING HEALTHCARE LIMITED (DHC)
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,RXX1Y,SURREY IAPT
InvalidCode,Unknown,8J724,LGBT FOUNDATION
InvalidCode,Unknown,8JJ53,"TAMESIDE, OLDHAM AND GLOSSOP MIND"
InvalidCode,Unknown,AKR01,BLACKBURN CENTRE
InvalidCode,Unknown,AM7,SIGN HEALTH (HQ)
InvalidCode,Unknown,AME01,MIND IN BEXLEY (HQ)
InvalidCode,Unknown,DA1,FREEFLOW COUNSELLING SERVICE
InvalidCode,Unknown,DHA,BIKUR CHOLIM LTD
InvalidCode,Unknown,GDA01,MIND IN BARNET (NORTH FINCHLEY)
InvalidCode,Unknown,NDC05,INSIGHT HEALTHCARE TALKING THERAPIES (PETERBOROUGH)
InvalidCode,Unknown,NDC07,INSIGHT HEALTHCARE TALKING THERAPIES (KENT & MEDWAY)
InvalidCode,Unknown,NDC08,INSIGHT HEALTHCARE - NOTTINGHAM CITY
InvalidCode,Unknown,NDC09,INSIGHT HEALTHCARE - NOTTINGHAMSHIRE
InvalidCode,Unknown,NDC10,INSIGHT HEALTHCARE - DERBYSHIRE
InvalidCode,Unknown,NDC13,INSIGHT HEALHTCARE TALKING THERAPIES (BASSETLAW)
InvalidCode,Unknown,NDC16,MEDWAY TALKING THERAPIES
InvalidCode,Unknown,NDC17,TALKING TOGETHER WIRRAL
InvalidCode,Unknown,NDC18,INSIGHT HEALTHCARE MID NOTTINGHAMSHIRE
InvalidCode,Unknown,NJG,ALLIANCE PSYCHOLOGY SERVICES LTD
